green,,yellow,,red,,blue,
wavelength/nm,PL intensity,wavelength/nm,PL intensity,wavelength/nm,PL intensity,wavelength/nm,PL intensity
400,416.507,400,17472.484,450,3215.271,380,47484.587
400.5,415.176,400.5,16808.079,450.5,3191.534,380.5,47266.148
401,409.1,401,16303.276,451,3144.484,381,46038.039
401.5,404.517,401.5,15900.932,451.5,3108.135,381.5,45246.219
402,412.057,402,15408.797,452,3057.35,382,44475.422
402.5,404.875,402.5,14997.918,452.5,2989.257,382.5,43652.981
403,406.107,403,14676.557,453,2969.832,383,42926.953
403.5,399.452,403.5,14363.956,453.5,2949.659,383.5,42601.673
404,396.332,404,13816.873,454,2903.316,384,41654.454
404.5,390.798,404.5,13548.542,454.5,2887.001,384.5,41166.23
405,410.27,405,13507.416,455,2837.917,385,40312.721
405.5,404.812,405.5,13210.516,455.5,2844.095,385.5,39614.58
406,396.891,406,13135.323,456,2829.136,386,38966.417
406.5,404.737,406.5,12902.668,456.5,2793.358,386.5,38094.645
407,414.146,407,12800.332,457,2779.103,387,37291.655
407.5,399.835,407.5,12689.387,457.5,2762,387.5,36723.142
408,396.797,408,12558.63,458,2757.828,388,35944.549
408.5,400.402,408.5,12450.185,458.5,2755.49,388.5,35066.193
409,400.475,409,12370.571,459,2724.102,389,34237.306
409.5,403.315,409.5,12360.525,459.5,2735.124,389.5,33658.804
410,403.498,410,12079.807,460,2689.179,390,33131.742
410.5,403.999,410.5,11965.911,460.5,2709.166,390.5,32646.242
411,404.089,411,12041.831,461,2709.173,391,32271.064
411.5,394.471,411.5,11929.287,461.5,2703.016,391.5,32115.032
412,396.773,412,11735.938,462,2653.124,392,31584.032
412.5,404.163,412.5,11634.725,462.5,2702.777,392.5,31522.993
413,401.294,413,11590.142,463,2677.047,393,31515.542
413.5,407.386,413.5,11458.658,463.5,2691.631,393.5,31514.619
414,402.248,414,11340.487,464,2663.574,394,31624.11
414.5,402.587,414.5,11414.165,464.5,2681.508,394.5,31735.966
415,401.341,415,11297.768,465,2689.485,395,31799.842
415.5,402.039,415.5,11254.539,465.5,2663.19,395.5,32383.362
416,402.544,416,11210.996,466,2660.323,396,32504.558
416.5,411.971,416.5,11101.113,466.5,2658.881,396.5,32744.027
417,398.877,417,11074.766,467,2648.686,397,32575.996
417.5,401.346,417.5,11093.744,467.5,2637.868,397.5,32424.533
418,401.107,418,11023.671,468,2625.578,398,32111.124
418.5,395.619,418.5,10934.918,468.5,2607.908,398.5,31520.578
419,403.247,419,10883.214,469,2624.474,399,31080.076
419.5,397.587,419.5,10823.903,469.5,2616.636,399.5,30543.26
420,407.243,420,10878.431,470,2595.934,400,29845.703
420.5,394.318,420.5,10744.454,470.5,2614.343,400.5,28743.357
