Mar. 20, 2024   19:22:16
A.C. Impedance
File: c:\documents and settings\administrator\Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 0.5
High Frequency (Hz) = 1e+5
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

9.995e+4, 1.711e+0, 2.137e-1, 1.724e+0, 7.1
8.252e+4, 1.692e+0, 1.745e-1, 1.701e+0, 5.9
6.812e+4, 1.683e+0, 1.399e-1, 1.689e+0, 4.8
5.625e+4, 1.676e+0, 1.087e-1, 1.680e+0, 3.7
4.644e+4, 1.674e+0, 8.578e-2, 1.676e+0, 2.9
3.833e+4, 1.672e+0, 6.640e-2, 1.674e+0, 2.3
3.164e+4, 1.674e+0, 4.950e-2, 1.674e+0, 1.7
2.612e+4, 1.674e+0, 3.510e-2, 1.674e+0, 1.2
2.153e+4, 1.676e+0, 2.319e-2, 1.676e+0, 0.8
1.777e+4, 1.679e+0, 1.230e-2, 1.679e+0, 0.4
1.470e+4, 1.657e+0, 4.226e-3, 1.657e+0, 0.1
1.211e+4, 1.660e+0, -3.585e-3, 1.660e+0, -0.1
1.001e+4, 1.663e+0, -1.034e-2, 1.663e+0, -0.4
8.252e+3, 1.666e+0, -2.082e-2, 1.666e+0, -0.7
6.812e+3, 1.670e+0, -2.569e-2, 1.670e+0, -0.9
5.625e+3, 1.675e+0, -3.100e-2, 1.675e+0, -1.1
4.643e+3, 1.679e+0, -3.654e-2, 1.680e+0, -1.2
3.833e+3, 1.685e+0, -4.219e-2, 1.685e+0, -1.4
3.164e+3, 1.690e+0, -4.776e-2, 1.690e+0, -1.6
2.612e+3, 1.695e+0, -5.421e-2, 1.696e+0, -1.8
2.153e+3, 1.701e+0, -6.093e-2, 1.702e+0, -2.1
1.777e+3, 1.707e+0, -6.770e-2, 1.709e+0, -2.3
1.470e+3, 1.715e+0, -7.587e-2, 1.716e+0, -2.5
1.211e+3, 1.723e+0, -8.451e-2, 1.725e+0, -2.8
1.001e+3, 1.726e+0, -9.429e-2, 1.729e+0, -3.1
8.252e+2, 1.758e+0, -9.922e-2, 1.761e+0, -3.2
6.836e+2, 1.770e+0, -1.119e-1, 1.774e+0, -3.6
5.615e+2, 1.783e+0, -1.259e-1, 1.788e+0, -4.0
4.639e+2, 1.797e+0, -1.403e-1, 1.803e+0, -4.5
3.809e+2, 1.815e+0, -1.558e-1, 1.821e+0, -4.9
3.174e+2, 1.833e+0, -1.703e-1, 1.841e+0, -5.3
2.588e+2, 1.856e+0, -1.870e-1, 1.865e+0, -5.8
2.148e+2, 1.878e+0, -2.025e-1, 1.889e+0, -6.2
1.758e+2, 1.905e+0, -2.201e-1, 1.917e+0, -6.6
1.465e+2, 1.929e+0, -2.373e-1, 1.943e+0, -7.0
1.221e+2, 1.954e+0, -2.545e-1, 1.971e+0, -7.4
9.766e+1, 1.991e+0, -2.686e-1, 2.009e+0, -7.7
8.254e+1, 2.025e+0, -2.646e-1, 2.042e+0, -7.4
6.813e+1, 2.059e+0, -2.873e-1, 2.079e+0, -7.9
5.623e+1, 2.100e+0, -3.147e-1, 2.124e+0, -8.5
4.642e+1, 2.132e+0, -3.338e-1, 2.158e+0, -8.9
3.831e+1, 2.173e+0, -3.578e-1, 2.202e+0, -9.4
3.162e+1, 2.216e+0, -3.823e-1, 2.249e+0, -9.8
