Mar. 20, 2024   19:19:28
Linear Sweep Voltammetry
File: c:\documents and settings\administrator\Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 0
Final E (V) = 0.8
Scan Rate (V/s) = 0.005
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.1

Results:

Channel 1:

Potential/V, Current/A

0.000, -3.955e-4
0.001, -3.845e-4
0.002, -3.692e-4
0.003, -3.582e-4
0.004, -3.523e-4
0.005, -3.459e-4
0.006, -3.386e-4
0.007, -3.296e-4
0.008, -3.278e-4
0.009, -3.189e-4
0.010, -3.201e-4
0.011, -3.111e-4
0.012, -3.136e-4
0.013, -3.030e-4
0.014, -2.970e-4
0.015, -2.984e-4
0.016, -2.971e-4
0.017, -2.899e-4
0.018, -2.841e-4
0.019, -2.835e-4
0.020, -2.793e-4
0.021, -2.747e-4
0.022, -2.757e-4
0.023, -2.778e-4
0.024, -2.693e-4
0.025, -2.644e-4
0.026, -2.652e-4
0.027, -2.604e-4
0.028, -2.575e-4
0.029, -2.517e-4
0.030, -2.541e-4
0.031, -2.506e-4
0.032, -2.519e-4
0.033, -2.522e-4
0.034, -2.445e-4
0.035, -2.466e-4
0.036, -2.459e-4
0.037, -2.389e-4
0.038, -2.431e-4
0.039, -2.382e-4
0.040, -2.363e-4
0.041, -2.395e-4
0.042, -2.319e-4
0.043, -2.304e-4
0.044, -2.265e-4
0.045, -2.218e-4
0.046, -2.227e-4
0.047, -2.245e-4
0.048, -2.249e-4
0.049, -2.215e-4
0.050, -2.129e-4
0.051, -2.181e-4
0.052, -2.192e-4
0.053, -2.234e-4
0.054, -2.172e-4
0.055, -2.096e-4
0.056, -2.172e-4
0.057, -2.238e-4
0.058, -2.159e-4
0.059, -2.099e-4
0.060, -2.038e-4
0.061, -2.057e-4
0.062, -2.109e-4
0.063, -2.058e-4
0.064, -2.038e-4
0.065, -2.061e-4
0.066, -1.997e-4
0.067, -2.015e-4
0.068, -2.013e-4
0.069, -1.973e-4
0.070, -2.012e-4
0.071, -1.950e-4
0.072, -1.953e-4
0.073, -1.943e-4
0.074, -1.963e-4
0.075, -1.986e-4
0.076, -1.993e-4
0.077, -1.907e-4
0.078, -1.971e-4
0.079, -2.037e-4
0.080, -1.934e-4
0.081, -1.887e-4
0.082, -1.856e-4
0.083, -1.798e-4
0.084, -1.822e-4
0.085, -1.844e-4
0.086, -1.908e-4
0.087, -1.854e-4
0.088, -1.891e-4
0.089, -1.945e-4
0.090, -1.875e-4
0.091, -1.858e-4
0.092, -1.880e-4
0.093, -1.816e-4
0.094, -1.792e-4
0.095, -1.821e-4
0.096, -1.735e-4
0.097, -1.780e-4
0.098, -1.767e-4
0.099, -1.780e-4
0.100, -1.784e-4
0.101, -1.732e-4
0.102, -1.743e-4
0.103, -1.812e-4
0.104, -1.800e-4
0.105, -1.721e-4
0.106, -1.736e-4
0.107, -1.772e-4
0.108, -1.732e-4
0.109, -1.737e-4
0.110, -1.755e-4
0.111, -1.677e-4
0.112, -1.713e-4
0.113, -1.708e-4
0.114, -1.769e-4
0.115, -1.747e-4
0.116, -1.697e-4
0.117, -1.680e-4
0.118, -1.652e-4
0.119, -1.647e-4
0.120, -1.633e-4
0.121, -1.658e-4
0.122, -1.721e-4
0.123, -1.686e-4
0.124, -1.608e-4
0.125, -1.610e-4
0.126, -1.665e-4
0.127, -1.699e-4
0.128, -1.613e-4
0.129, -1.607e-4
0.130, -1.599e-4
0.131, -1.631e-4
0.132, -1.658e-4
0.133, -1.573e-4
0.134, -1.551e-4
0.135, -1.594e-4
0.136, -1.599e-4
0.137, -1.629e-4
0.138, -1.573e-4
0.139, -1.561e-4
0.140, -1.536e-4
0.141, -1.531e-4
0.142, -1.554e-4
0.143, -1.548e-4
0.144, -1.577e-4
0.145, -1.546e-4
0.146, -1.565e-4
0.147, -1.529e-4
0.148, -1.499e-4
0.149, -1.543e-4
0.150, -1.532e-4
0.151, -1.592e-4
0.152, -1.537e-4
0.153, -1.490e-4
0.154, -1.444e-4
0.155, -1.517e-4
0.156, -1.463e-4
0.157, -1.495e-4
