Mar. 20, 2024   15:55:02
Linear Sweep Voltammetry
File: c:\documents and settings\administrator\Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 0
Final E (V) = 0.8
Scan Rate (V/s) = 0.005
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.1

Results:

Channel 1:

Potential/V, Current/A

0.000, -2.688e-4
0.001, -2.535e-4
0.002, -2.416e-4
0.003, -2.244e-4
0.004, -2.142e-4
0.005, -2.041e-4
0.006, -1.953e-4
0.007, -1.923e-4
0.008, -1.842e-4
0.009, -1.792e-4
0.010, -1.703e-4
0.011, -1.631e-4
0.012, -1.603e-4
0.013, -1.514e-4
0.014, -1.433e-4
0.015, -1.395e-4
0.016, -1.371e-4
0.017, -1.312e-4
0.018, -1.264e-4
0.019, -1.249e-4
0.020, -1.173e-4
0.021, -1.163e-4
0.022, -1.129e-4
0.023, -1.073e-4
0.024, -1.011e-4
0.025, -9.948e-5
0.026, -9.657e-5
0.027, -9.830e-5
0.028, -8.909e-5
0.029, -8.586e-5
0.030, -8.508e-5
0.031, -7.988e-5
0.032, -7.540e-5
0.033, -7.225e-5
0.034, -7.272e-5
0.035, -7.091e-5
0.036, -6.516e-5
0.037, -6.139e-5
0.038, -5.871e-5
0.039, -5.997e-5
0.040, -5.824e-5
0.041, -5.312e-5
0.042, -5.194e-5
0.043, -4.714e-5
0.044, -5.021e-5
0.045, -4.667e-5
0.046, -4.148e-5
0.047, -3.959e-5
0.048, -3.723e-5
0.049, -3.345e-5
0.050, -3.164e-5
0.051, -3.069e-5
0.052, -2.739e-5
0.053, -2.810e-5
0.054, -2.518e-5
0.055, -2.290e-5
0.056, -2.015e-5
0.057, -2.369e-5
0.058, -2.054e-5
0.059, -1.739e-5
0.060, -1.440e-5
0.061, -1.149e-5
0.062, -1.062e-5
0.063, -6.611e-6
0.064, -4.722e-6
0.065, -4.722e-6
0.066, -1.574e-7
0.067, -1.495e-6
0.068, -8.657e-7
0.069, -5.194e-6
0.070, 1.259e-6
0.071, 3.699e-6
0.072, 8.972e-6
0.073, 9.287e-6
0.074, 6.532e-6
0.075, 8.972e-6
0.076, 1.259e-5
0.077, 1.661e-5
0.078, 1.204e-5
0.079, 1.511e-5
0.080, 1.794e-5
0.081, 1.889e-5
0.082, 1.975e-5
0.083, 1.999e-5
0.084, 2.267e-5
0.085, 2.487e-5
0.086, 2.589e-5
0.087, 2.920e-5
0.088, 2.943e-5
0.089, 2.904e-5
0.090, 3.077e-5
0.091, 3.014e-5
0.092, 3.227e-5
0.093, 3.644e-5
0.094, 3.597e-5
0.095, 3.534e-5
0.096, 3.636e-5
0.097, 4.014e-5
0.098, 4.006e-5
0.099, 4.195e-5
0.100, 4.179e-5
0.101, 3.959e-5
0.102, 4.525e-5
0.103, 4.494e-5
0.104, 4.683e-5
0.105, 4.722e-5
0.106, 4.974e-5
0.107, 5.029e-5
0.108, 5.344e-5
0.109, 5.100e-5
0.110, 5.131e-5
0.111, 5.596e-5
0.112, 6.060e-5
0.113, 5.706e-5
0.114, 5.871e-5
0.115, 6.013e-5
0.116, 6.052e-5
0.117, 6.288e-5
0.118, 6.194e-5
0.119, 5.926e-5
0.120, 6.446e-5
0.121, 6.642e-5
0.122, 6.705e-5
0.123, 6.957e-5
0.124, 6.878e-5
0.125, 7.217e-5
0.126, 6.878e-5
0.127, 7.067e-5
0.128, 7.382e-5
0.129, 7.642e-5
0.130, 7.862e-5
0.131, 7.492e-5
0.132, 7.508e-5
0.133, 7.996e-5
0.134, 8.083e-5
0.135, 7.909e-5
0.136, 8.264e-5
0.137, 8.437e-5
0.138, 8.633e-5
0.139, 8.633e-5
0.140, 8.492e-5
0.141, 8.885e-5
0.142, 8.870e-5
0.143, 8.775e-5
0.144, 9.224e-5
0.145, 9.200e-5
0.146, 9.200e-5
0.147, 9.523e-5
0.148, 9.727e-5
0.149, 9.751e-5
0.150, 9.806e-5
0.151, 9.853e-5
0.152, 9.987e-5
0.153, 1.029e-4
0.154, 1.050e-4
0.155, 1.038e-4
0.156, 1.049e-4
0.157, 1.081e-4
