Nov. 16, 2023   21:20:50
Linear Sweep Voltammetry
File: /home/mkq/documents/data/4/data460\lsv-1.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 0
Final E (V) = 0.8
Scan Rate (V/s) = 0.005
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.1

Results:

Channel 1:

Potential/V, Current/A

0.000, -3.961e-4
0.001, -3.789e-4
0.002, -3.674e-4
0.003, -3.505e-4
0.004, -3.396e-4
0.005, -3.280e-4
0.006, -3.173e-4
0.007, -3.064e-4
0.008, -2.971e-4
0.009, -2.919e-4
0.010, -2.864e-4
0.011, -2.791e-4
0.012, -2.731e-4
0.013, -2.680e-4
0.014, -2.612e-4
0.015, -2.551e-4
0.016, -2.507e-4
0.017, -2.442e-4
0.018, -2.380e-4
0.019, -2.357e-4
0.020, -2.325e-4
0.021, -2.249e-4
0.022, -2.179e-4
0.023, -2.169e-4
0.024, -2.142e-4
0.025, -2.097e-4
0.026, -2.060e-4
0.027, -2.018e-4
0.028, -1.977e-4
0.029, -1.938e-4
0.030, -1.921e-4
0.031, -1.868e-4
0.032, -1.837e-4
0.033, -1.812e-4
0.034, -1.770e-4
0.035, -1.756e-4
0.036, -1.737e-4
0.037, -1.744e-4
0.038, -1.707e-4
0.039, -1.685e-4
0.040, -1.630e-4
0.041, -1.574e-4
0.042, -1.559e-4
0.043, -1.526e-4
0.044, -1.501e-4
0.045, -1.485e-4
0.046, -1.441e-4
0.047, -1.453e-4
0.048, -1.447e-4
0.049, -1.425e-4
0.050, -1.397e-4
0.051, -1.398e-4
0.052, -1.373e-4
0.053, -1.332e-4
0.054, -1.299e-4
0.055, -1.284e-4
0.056, -1.277e-4
0.057, -1.243e-4
0.058, -1.172e-4
0.059, -1.153e-4
0.060, -1.184e-4
0.061, -1.165e-4
0.062, -1.143e-4
0.063, -1.102e-4
0.064, -1.095e-4
0.065, -1.090e-4
0.066, -1.063e-4
0.067, -1.039e-4
0.068, -1.003e-4
