Nov. 15, 2023   17:11:50
A.C. Impedance
File: /home/mkq/documents/data/1/data301\eis-001.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 0.6
High Frequency (Hz) = 1e+5
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

9.995e+4, 2.023e+0, 4.370e-1, 2.070e+0, 12.2
8.252e+4, 2.007e+0, 3.532e-1, 2.038e+0, 10.0
6.812e+4, 1.999e+0, 2.834e-1, 2.019e+0, 8.1
5.625e+4, 1.994e+0, 2.236e-1, 2.007e+0, 6.4
4.644e+4, 1.995e+0, 1.760e-1, 2.002e+0, 5.0
3.833e+4, 1.996e+0, 1.365e-1, 2.001e+0, 3.9
3.164e+4, 1.998e+0, 1.039e-1, 2.001e+0, 3.0
2.612e+4, 2.002e+0, 7.603e-2, 2.003e+0, 2.2
2.153e+4, 2.006e+0, 5.198e-2, 2.006e+0, 1.5
1.777e+4, 2.011e+0, 3.160e-2, 2.011e+0, 0.9
1.470e+4, 2.016e+0, 1.435e-2, 2.016e+0, 0.4
1.211e+4, 2.022e+0, -5.826e-4, 2.022e+0, -0.0
1.001e+4, 2.029e+0, -1.466e-2, 2.029e+0, -0.4
8.252e+3, 2.036e+0, -2.777e-2, 2.036e+0, -0.8
6.812e+3, 2.043e+0, -3.876e-2, 2.044e+0, -1.1
5.625e+3, 2.051e+0, -4.817e-2, 2.052e+0, -1.3
4.643e+3, 2.059e+0, -5.662e-2, 2.060e+0, -1.6
3.833e+3, 2.067e+0, -6.463e-2, 2.068e+0, -1.8
3.164e+3, 2.076e+0, -7.235e-2, 2.078e+0, -2.0
2.612e+3, 2.086e+0, -8.002e-2, 2.087e+0, -2.2
2.153e+3, 2.096e+0, -8.784e-2, 2.098e+0, -2.4
1.777e+3, 2.108e+0, -9.587e-2, 2.110e+0, -2.6
1.470e+3, 2.120e+0, -1.041e-1, 2.122e+0, -2.8
1.211e+3, 2.133e+0, -1.125e-1, 2.136e+0, -3.0
1.001e+3, 2.152e+0, -1.193e-1, 2.156e+0, -3.2
8.252e+2, 2.176e+0, -1.255e-1, 2.180e+0, -3.3
6.836e+2, 2.197e+0, -1.334e-1, 2.201e+0, -3.5
5.615e+2, 2.216e+0, -1.428e-1, 2.221e+0, -3.7
4.639e+2, 2.233e+0, -1.537e-1, 2.238e+0, -3.9
3.809e+2, 2.251e+0, -1.653e-1, 2.257e+0, -4.2
3.174e+2, 2.270e+0, -1.777e-1, 2.277e+0, -4.5
2.588e+2, 2.291e+0, -1.906e-1, 2.299e+0, -4.8
2.148e+2, 2.314e+0, -2.044e-1, 2.323e+0, -5.0
1.758e+2, 2.337e+0, -2.188e-1, 2.348e+0, -5.3
1.465e+2, 2.362e+0, -2.336e-1, 2.373e+0, -5.6
1.221e+2, 2.389e+0, -2.485e-1, 2.401e+0, -5.9
9.766e+1, 2.419e+0, -2.573e-1, 2.433e+0, -6.1
8.254e+1, 2.452e+0, -2.651e-1, 2.466e+0, -6.2
6.813e+1, 2.487e+0, -2.823e-1, 2.503e+0, -6.5
5.623e+1, 2.523e+0, -3.056e-1, 2.541e+0, -6.9
4.642e+1, 2.559e+0, -3.322e-1, 2.580e+0, -7.4
3.831e+1, 2.597e+0, -3.606e-1, 2.622e+0, -7.9
3.162e+1, 2.639e+0, -3.904e-1, 2.668e+0, -8.4
2.610e+1, 2.684e+0, -4.222e-1, 2.717e+0, -8.9
2.154e+1, 2.734e+0, -4.564e-1, 2.772e+0, -9.5
1.778e+1, 2.788e+0, -4.932e-1, 2.831e+0, -10.0
1.468e+1, 2.845e+0, -5.325e-1, 2.895e+0, -10.6
1.212e+1, 2.907e+0, -5.726e-1, 2.963e+0, -11.1
1.000e+1, 2.975e+0, -6.154e-1, 3.038e+0, -11.7
8.254e+0, 3.048e+0, -6.645e-1, 3.120e+0, -12.3
6.813e+0, 3.130e+0, -7.200e-1, 3.211e+0, -13.0
5.623e+0, 3.220e+0, -7.816e-1, 3.314e+0, -13.6
4.642e+0, 3.323e+0, -8.481e-1, 3.430e+0, -14.3
3.831e+0, 3.440e+0, -9.184e-1, 3.560e+0, -14.9
3.162e+0, 3.568e+0, -9.911e-1, 3.703e+0, -15.5
2.610e+0, 3.716e+0, -1.066e+0, 3.866e+0, -16.0
2.154e+0, 3.884e+0, -1.139e+0, 4.048e+0, -16.3
1.778e+0, 4.087e+0, -1.205e+0, 4.261e+0, -16.4
1.468e+0, 4.312e+0, -1.261e+0, 4.493e+0, -16.3
1.212e+0, 4.523e+0, -1.302e+0, 4.707e+0, -16.1
1.000e+0, 4.736e+0, -1.322e+0, 4.917e+0, -15.6
8.254e-1, 4.934e+0, -1.320e+0, 5.107e+0, -15.0
6.813e-1, 5.107e+0, -1.306e+0, 5.271e+0, -14.3
5.623e-1, 5.292e+0, -1.289e+0, 5.447e+0, -13.7
4.642e-1, 5.481e+0, -1.254e+0, 5.623e+0, -12.9
3.831e-1, 5.634e+0, -1.188e+0, 5.758e+0, -11.9
3.162e-1, 5.761e+0, -1.111e+0, 5.867e+0, -10.9
2.610e-1, 5.884e+0, -1.031e+0, 5.973e+0, -9.9
2.154e-1, 5.998e+0, -9.499e-1, 6.073e+0, -9.0
1.778e-1, 6.122e+0, -8.769e-1, 6.184e+0, -8.2
1.468e-1, 6.227e+0, -8.138e-1, 6.280e+0, -7.4
1.212e-1, 6.280e+0, -7.324e-1, 6.322e+0, -6.7
1.000e-1, 6.286e+0, -6.274e-1, 6.317e+0, -5.7
