Mar. 20, 2024   11:59:41
A.C. Impedance
File: c:\documents and settings\administrator\Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 0.5
High Frequency (Hz) = 1e+5
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

9.995e+4, 1.830e+0, 5.278e-1, 1.905e+0, 16.1
8.252e+4, 1.810e+0, 4.329e-1, 1.861e+0, 13.5
6.812e+4, 1.798e+0, 3.534e-1, 1.832e+0, 11.1
5.625e+4, 1.792e+0, 2.868e-1, 1.815e+0, 9.1
4.644e+4, 1.789e+0, 2.351e-1, 1.804e+0, 7.5
3.833e+4, 1.782e+0, 1.879e-1, 1.792e+0, 6.0
3.164e+4, 1.782e+0, 1.501e-1, 1.789e+0, 4.8
2.612e+4, 1.782e+0, 1.182e-1, 1.786e+0, 3.8
2.153e+4, 1.784e+0, 9.130e-2, 1.786e+0, 2.9
1.777e+4, 1.785e+0, 6.902e-2, 1.787e+0, 2.2
1.470e+4, 1.788e+0, 4.950e-2, 1.789e+0, 1.6
1.211e+4, 1.790e+0, 3.233e-2, 1.791e+0, 1.0
1.001e+4, 1.793e+0, 1.819e-2, 1.793e+0, 0.6
8.252e+3, 1.796e+0, 1.298e-3, 1.796e+0, 0.0
6.812e+3, 1.800e+0, -9.633e-3, 1.800e+0, -0.3
5.625e+3, 1.803e+0, -2.036e-2, 1.803e+0, -0.6
4.643e+3, 1.807e+0, -3.082e-2, 1.807e+0, -1.0
3.833e+3, 1.811e+0, -4.064e-2, 1.812e+0, -1.3
3.164e+3, 1.816e+0, -5.049e-2, 1.816e+0, -1.6
2.612e+3, 1.822e+0, -6.131e-2, 1.823e+0, -1.9
2.153e+3, 1.828e+0, -7.246e-2, 1.829e+0, -2.3
1.777e+3, 1.835e+0, -8.496e-2, 1.837e+0, -2.7
1.470e+3, 1.843e+0, -9.750e-2, 1.845e+0, -3.0
1.211e+3, 1.851e+0, -1.128e-1, 1.854e+0, -3.5
1.001e+3, 1.861e+0, -1.287e-1, 1.866e+0, -4.0
